id,category,answer_ko,answer_en,acceptable_answers,difficulty,image_url,image_source,photographer,license,suggested_image_query,hint_1,hint_2,hint_3,hint_4,hint_5,explanation,status
MEGA-060,대도시,요하네스버그,Johannesburg,"요하네스버그, johannesburg",hard,,,,,Johannesburg city street skyline landmark,이곳은 아프리카 남부에 있습니다.,남아프리카공화국에 있는 도시입니다.,세계적으로 인지도가 높거나 인구·경제·문화 기능이 큰 대도시입니다.,광산업과 금융 중심지로 성장했습니다.,남아프리카공화국의 대표 경제 도시입니다.,요하네스버그는 남아프리카공화국의 도시입니다. 광산업과 금융 중심지로 성장했습니다. 남아프리카공화국의 대표 경제 도시입니다.,텍스트초안
MEGA-061,대도시,나이로비,Nairobi,"나이로비, nairobi",normal,,,,,Nairobi city street skyline landmark,이곳은 동아프리카에 있습니다.,케냐에 있는 도시입니다.,세계적으로 인지도가 높거나 인구·경제·문화 기능이 큰 대도시입니다.,사파리와 국제기구 이미지가 함께 떠오릅니다.,케냐의 수도입니다.,나이로비는 케냐의 도시입니다. 사파리와 국제기구 이미지가 함께 떠오릅니다. 케냐의 수도입니다.,텍스트초안
MEGA-062,대도시,아디스아바바,Addis Ababa,"아디스아바바, addis ababa",hard,,,,,Addis Ababa city street skyline landmark,이곳은 동아프리카에 있습니다.,에티오피아에 있는 도시입니다.,세계적으로 인지도가 높거나 인구·경제·문화 기능이 큰 대도시입니다.,고지대에 있는 아프리카의 외교 중심지입니다.,에티오피아의 수도입니다.,아디스아바바는 에티오피아의 도시입니다. 고지대에 있는 아프리카의 외교 중심지입니다. 에티오피아의 수도입니다.,텍스트초안
MEGA-063,대도시,라고스,Lagos,"라고스, lagos",normal,,,,,Lagos city street skyline landmark,이곳은 서아프리카에 있습니다.,나이지리아에 있는 도시입니다.,세계적으로 인지도가 높거나 인구·경제·문화 기능이 큰 대도시입니다.,해안과 석호 주변에 발달한 거대 도시입니다.,나이지리아의 대표 경제 도시입니다.,라고스는 나이지리아의 도시입니다. 해안과 석호 주변에 발달한 거대 도시입니다. 나이지리아의 대표 경제 도시입니다.,텍스트초안
MEGA-064,대도시,아부자,Abuja,"아부자, abuja",hard,,,,,Abuja city street skyline landmark,이곳은 서아프리카에 있습니다.,나이지리아에 있는 도시입니다.,세계적으로 인지도가 높거나 인구·경제·문화 기능이 큰 대도시입니다.,계획도시 성격이 강한 내륙 도시입니다.,나이지리아의 수도입니다.,아부자는 나이지리아의 도시입니다. 계획도시 성격이 강한 내륙 도시입니다. 나이지리아의 수도입니다.,텍스트초안
MEGA-065,대도시,아크라,Accra,"아크라, accra",hard,,,,,Accra city street skyline landmark,이곳은 서아프리카에 있습니다.,가나에 있는 도시입니다.,세계적으로 인지도가 높거나 인구·경제·문화 기능이 큰 대도시입니다.,기니만 연안의 수도 도시입니다.,가나의 수도입니다.,아크라는 가나의 도시입니다. 기니만 연안의 수도 도시입니다. 가나의 수도입니다.,텍스트초안
MEGA-066,대도시,다카르,Dakar,"다카르, dakar",hard,,,,,Dakar city street skyline landmark,이곳은 서아프리카에 있습니다.,세네갈에 있는 도시입니다.,세계적으로 인지도가 높거나 인구·경제·문화 기능이 큰 대도시입니다.,대서양으로 돌출된 반도에 있습니다.,세네갈의 수도입니다.,다카르는 세네갈의 도시입니다. 대서양으로 돌출된 반도에 있습니다. 세네갈의 수도입니다.,텍스트초안
MEGA-067,대도시,알제,Algiers,"알제, 알제리, algiers",hard,,,,,Algiers city street skyline landmark,이곳은 북아프리카에 있습니다.,알제리에 있는 도시입니다.,세계적으로 인지도가 높거나 인구·경제·문화 기능이 큰 대도시입니다.,지중해와 언덕 도시 경관이 특징입니다.,알제리의 수도입니다.,알제는 알제리의 도시입니다. 지중해와 언덕 도시 경관이 특징입니다. 알제리의 수도입니다.,텍스트초안
MEGA-068,대도시,튀니스,Tunis,"튀니스, tunis",hard,,,,,Tunis city street skyline landmark,이곳은 북아프리카에 있습니다.,튀니지에 있는 도시입니다.,세계적으로 인지도가 높거나 인구·경제·문화 기능이 큰 대도시입니다.,카르타고 유적과 가까운 지중해 도시입니다.,튀니지의 수도입니다.,튀니스는 튀니지의 도시입니다. 카르타고 유적과 가까운 지중해 도시입니다. 튀니지의 수도입니다.,텍스트초안
MEGA-069,대도시,카사블랑카,Casablanca,"카사블랑카, casablanca",normal,,,,,Casablanca city street skyline landmark,이곳은 북아프리카에 있습니다.,모로코에 있는 도시입니다.,세계적으로 인지도가 높거나 인구·경제·문화 기능이 큰 대도시입니다.,대서양 연안의 항구 도시입니다.,모로코의 대표 경제 도시입니다.,카사블랑카는 모로코의 도시입니다. 대서양 연안의 항구 도시입니다. 모로코의 대표 경제 도시입니다.,텍스트초안
MEGA-070,대도시,마라케시,Marrakesh,"마라케시, marrakesh, marrakech",normal,,,,,Marrakesh city street skyline landmark,이곳은 북아프리카에 있습니다.,모로코에 있는 도시입니다.,세계적으로 인지도가 높거나 인구·경제·문화 기능이 큰 대도시입니다.,붉은 성벽과 시장으로 유명한 관광 도시입니다.,모로코의 대표 역사 도시입니다.,마라케시는 모로코의 도시입니다. 붉은 성벽과 시장으로 유명한 관광 도시입니다. 모로코의 대표 역사 도시입니다.,텍스트초안
MEGA-071,대도시,호치민시,Ho Chi Minh City,"호치민, 호찌민, ho chi minh city, saigon",normal,,,,,Ho Chi Minh City city street skyline landmark,이곳은 동남아시아에 있습니다.,베트남에 있는 도시입니다.,세계적으로 인지도가 높거나 인구·경제·문화 기능이 큰 대도시입니다.,오토바이와 활기찬 거리 풍경이 유명합니다.,옛 이름 사이공으로도 알려져 있습니다.,호치민시는 베트남의 도시입니다. 오토바이와 활기찬 거리 풍경이 유명합니다. 옛 이름 사이공으로도 알려져 있습니다.,텍스트초안
MEGA-072,대도시,하노이,Hanoi,"하노이, hanoi",normal,,,,,Hanoi city street skyline landmark,이곳은 동남아시아에 있습니다.,베트남에 있는 도시입니다.,세계적으로 인지도가 높거나 인구·경제·문화 기능이 큰 대도시입니다.,"호수와 구시가지, 프랑스풍 건축이 공존합니다.",베트남의 수도입니다.,"하노이는 베트남의 도시입니다. 호수와 구시가지, 프랑스풍 건축이 공존합니다. 베트남의 수도입니다.",텍스트초안
MEGA-073,대도시,쿠알라룸푸르,Kuala Lumpur,"쿠알라룸푸르, kuala lumpur, kl",easy,,,,,Kuala Lumpur city street skyline landmark,이곳은 동남아시아에 있습니다.,말레이시아에 있는 도시입니다.,세계적으로 인지도가 높거나 인구·경제·문화 기능이 큰 대도시입니다.,쌍둥이 빌딩이 대표 상징입니다.,말레이시아의 수도입니다.,쿠알라룸푸르는 말레이시아의 도시입니다. 쌍둥이 빌딩이 대표 상징입니다. 말레이시아의 수도입니다.,텍스트초안
MEGA-074,대도시,싱가포르,Singapore,"싱가포르, singapore",easy,,,,,Singapore city street skyline landmark,이곳은 동남아시아에 있습니다.,싱가포르에 있는 도시입니다.,세계적으로 인지도가 높거나 인구·경제·문화 기능이 큰 대도시입니다.,도시국가이자 금융·항만 중심지입니다.,마리나 베이와 머라이언으로 유명합니다.,싱가포르는 싱가포르의 도시입니다. 도시국가이자 금융·항만 중심지입니다. 마리나 베이와 머라이언으로 유명합니다.,텍스트초안
MEGA-075,대도시,홍콩,Hong Kong,"홍콩, hong kong",easy,,,,,Hong Kong city street skyline landmark,이곳은 동아시아에 있습니다.,중국에 있는 도시입니다.,세계적으로 인지도가 높거나 인구·경제·문화 기능이 큰 대도시입니다.,빅토리아 항구와 고밀도 스카이라인이 유명합니다.,중국의 특별행정구입니다.,홍콩는 중국의 도시입니다. 빅토리아 항구와 고밀도 스카이라인이 유명합니다. 중국의 특별행정구입니다.,텍스트초안
MEGA-076,대도시,타이베이,Taipei,"타이베이, taipei",normal,,,,,Taipei city street skyline landmark,이곳은 동아시아에 있습니다.,대만에 있는 도시입니다.,세계적으로 인지도가 높거나 인구·경제·문화 기능이 큰 대도시입니다.,야시장과 초고층 빌딩이 유명합니다.,타이베이 101이 대표 상징입니다.,타이베이는 대만의 도시입니다. 야시장과 초고층 빌딩이 유명합니다. 타이베이 101이 대표 상징입니다.,텍스트초안
MEGA-077,대도시,광저우,Guangzhou,"광저우, 광주, guangzhou, canton",hard,,,,,Guangzhou city street skyline landmark,이곳은 동아시아에 있습니다.,중국에 있는 도시입니다.,세계적으로 인지도가 높거나 인구·경제·문화 기능이 큰 대도시입니다.,주강 삼각주 지역의 핵심 도시입니다.,중국 남부의 대표 상업 도시입니다.,광저우는 중국의 도시입니다. 주강 삼각주 지역의 핵심 도시입니다. 중국 남부의 대표 상업 도시입니다.,텍스트초안
MEGA-078,대도시,선전,Shenzhen,"선전, 심천, shenzhen",hard,,,,,Shenzhen city street skyline landmark,이곳은 동아시아에 있습니다.,중국에 있는 도시입니다.,세계적으로 인지도가 높거나 인구·경제·문화 기능이 큰 대도시입니다.,전자산업과 스타트업 이미지가 강합니다.,홍콩과 가까운 중국 남부 도시입니다.,선전는 중국의 도시입니다. 전자산업과 스타트업 이미지가 강합니다. 홍콩과 가까운 중국 남부 도시입니다.,텍스트초안
MEGA-079,대도시,청두,Chengdu,"청두, 성도, chengdu",hard,,,,,Chengdu city street skyline landmark,이곳은 동아시아에 있습니다.,중국에 있는 도시입니다.,세계적으로 인지도가 높거나 인구·경제·문화 기능이 큰 대도시입니다.,판다와 매운 음식으로 유명합니다.,중국 쓰촨성의 중심 도시입니다.,청두는 중국의 도시입니다. 판다와 매운 음식으로 유명합니다. 중국 쓰촨성의 중심 도시입니다.,텍스트초안
MEGA-080,대도시,충칭,Chongqing,"충칭, 중경, chongqing",hard,,,,,Chongqing city street skyline landmark,이곳은 동아시아에 있습니다.,중국에 있는 도시입니다.,세계적으로 인지도가 높거나 인구·경제·문화 기능이 큰 대도시입니다.,산과 강이 많은 입체적인 도시 구조가 특징입니다.,중국 서남부의 대도시입니다.,충칭는 중국의 도시입니다. 산과 강이 많은 입체적인 도시 구조가 특징입니다. 중국 서남부의 대도시입니다.,텍스트초안
MEGA-081,대도시,우한,Wuhan,"우한, 무한, wuhan",hard,,,,,Wuhan city street skyline landmark,이곳은 동아시아에 있습니다.,중국에 있는 도시입니다.,세계적으로 인지도가 높거나 인구·경제·문화 기능이 큰 대도시입니다.,양쯔강과 한강이 만나는 내륙 도시입니다.,중국 후베이성의 중심 도시입니다.,우한는 중국의 도시입니다. 양쯔강과 한강이 만나는 내륙 도시입니다. 중국 후베이성의 중심 도시입니다.,텍스트초안
MEGA-082,대도시,톈진,Tianjin,"톈진, 천진, tianjin",hard,,,,,Tianjin city street skyline landmark,이곳은 동아시아에 있습니다.,중국에 있는 도시입니다.,세계적으로 인지도가 높거나 인구·경제·문화 기능이 큰 대도시입니다.,베이징과 가까운 항구 도시입니다.,중국 북부의 직할시입니다.,톈진는 중국의 도시입니다. 베이징과 가까운 항구 도시입니다. 중국 북부의 직할시입니다.,텍스트초안
MEGA-083,대도시,난징,Nanjing,"난징, 남경, nanjing",hard,,,,,Nanjing city street skyline landmark,이곳은 동아시아에 있습니다.,중국에 있는 도시입니다.,세계적으로 인지도가 높거나 인구·경제·문화 기능이 큰 대도시입니다.,오랜 수도 역사를 가진 도시입니다.,중국 장쑤성의 중심 도시입니다.,난징는 중국의 도시입니다. 오랜 수도 역사를 가진 도시입니다. 중국 장쑤성의 중심 도시입니다.,텍스트초안
MEGA-084,대도시,항저우,Hangzhou,"항저우, 항주, hangzhou",normal,,,,,Hangzhou city street skyline landmark,이곳은 동아시아에 있습니다.,중국에 있는 도시입니다.,세계적으로 인지도가 높거나 인구·경제·문화 기능이 큰 대도시입니다.,호수와 디지털 기업 이미지가 함께 있습니다.,서호로 유명한 중국 도시입니다.,항저우는 중국의 도시입니다. 호수와 디지털 기업 이미지가 함께 있습니다. 서호로 유명한 중국 도시입니다.,텍스트초안
MEGA-085,대도시,시안,Xian,"시안, 서안, xian, xi’an",normal,,,,,Xian city street skyline landmark,이곳은 동아시아에 있습니다.,중국에 있는 도시입니다.,세계적으로 인지도가 높거나 인구·경제·문화 기능이 큰 대도시입니다.,고대 왕조의 수도였던 역사 도시입니다.,병마용과 가까운 도시입니다.,시안는 중국의 도시입니다. 고대 왕조의 수도였던 역사 도시입니다. 병마용과 가까운 도시입니다.,텍스트초안
MEGA-086,대도시,부산,Busan,"부산, busan",normal,,,,,Busan city street skyline landmark,이곳은 동아시아에 있습니다.,대한민국에 있는 도시입니다.,세계적으로 인지도가 높거나 인구·경제·문화 기능이 큰 대도시입니다.,항구와 해변이 발달한 도시입니다.,대한민국 남동부의 대표 해양 도시입니다.,부산는 대한민국의 도시입니다. 항구와 해변이 발달한 도시입니다. 대한민국 남동부의 대표 해양 도시입니다.,텍스트초안
MEGA-087,대도시,후쿠오카,Fukuoka,"후쿠오카, fukuoka",hard,,,,,Fukuoka city street skyline landmark,이곳은 동아시아에 있습니다.,일본에 있는 도시입니다.,세계적으로 인지도가 높거나 인구·경제·문화 기능이 큰 대도시입니다.,일본과 아시아를 잇는 관문 도시입니다.,규슈 지방의 대표 도시입니다.,후쿠오카는 일본의 도시입니다. 일본과 아시아를 잇는 관문 도시입니다. 규슈 지방의 대표 도시입니다.,텍스트초안
MEGA-088,대도시,삿포로,Sapporo,"삿포로, sapporo",normal,,,,,Sapporo city street skyline landmark,이곳은 동아시아에 있습니다.,일본에 있는 도시입니다.,세계적으로 인지도가 높거나 인구·경제·문화 기능이 큰 대도시입니다.,눈 축제와 맥주로 유명한 북쪽 도시입니다.,홋카이도의 중심 도시입니다.,삿포로는 일본의 도시입니다. 눈 축제와 맥주로 유명한 북쪽 도시입니다. 홋카이도의 중심 도시입니다.,텍스트초안
MEGA-089,대도시,나고야,Nagoya,"나고야, nagoya",hard,,,,,Nagoya city street skyline landmark,이곳은 동아시아에 있습니다.,일본에 있는 도시입니다.,세계적으로 인지도가 높거나 인구·경제·문화 기능이 큰 대도시입니다.,제조업과 자동차 산업 이미지가 강합니다.,도쿄와 오사카 사이의 대도시입니다.,나고야는 일본의 도시입니다. 제조업과 자동차 산업 이미지가 강합니다. 도쿄와 오사카 사이의 대도시입니다.,텍스트초안
MEGA-090,대도시,멜버른,Melbourne,"멜버른, melbourne",normal,,,,,Melbourne city street skyline landmark,이곳은 오세아니아에 있습니다.,호주에 있는 도시입니다.,세계적으로 인지도가 높거나 인구·경제·문화 기능이 큰 대도시입니다.,"커피, 예술, 스포츠 문화가 강합니다.",호주 남동부의 대표 도시입니다.,"멜버른는 호주의 도시입니다. 커피, 예술, 스포츠 문화가 강합니다. 호주 남동부의 대표 도시입니다.",텍스트초안
MEGA-091,대도시,시드니,Sydney,"시드니, sydney",easy,,,,,Sydney city street skyline landmark,이곳은 오세아니아에 있습니다.,호주에 있는 도시입니다.,세계적으로 인지도가 높거나 인구·경제·문화 기능이 큰 대도시입니다.,항구와 오페라 하우스가 유명합니다.,호주의 대표 국제 도시입니다.,시드니는 호주의 도시입니다. 항구와 오페라 하우스가 유명합니다. 호주의 대표 국제 도시입니다.,텍스트초안
MEGA-092,대도시,오클랜드,Auckland,"오클랜드, auckland",normal,,,,,Auckland city street skyline landmark,이곳은 오세아니아에 있습니다.,뉴질랜드에 있는 도시입니다.,세계적으로 인지도가 높거나 인구·경제·문화 기능이 큰 대도시입니다.,화산 지형과 항구 도시 경관이 특징입니다.,뉴질랜드 최대 도시로 알려져 있습니다.,오클랜드는 뉴질랜드의 도시입니다. 화산 지형과 항구 도시 경관이 특징입니다. 뉴질랜드 최대 도시로 알려져 있습니다.,텍스트초안
MEGA-093,대도시,웰링턴,Wellington,"웰링턴, wellington",normal,,,,,Wellington city street skyline landmark,이곳은 오세아니아에 있습니다.,뉴질랜드에 있는 도시입니다.,세계적으로 인지도가 높거나 인구·경제·문화 기능이 큰 대도시입니다.,바람이 강하고 항구가 있는 도시입니다.,뉴질랜드의 수도입니다.,웰링턴는 뉴질랜드의 도시입니다. 바람이 강하고 항구가 있는 도시입니다. 뉴질랜드의 수도입니다.,텍스트초안
MEGA-094,대도시,몬트리올,Montreal,"몬트리올, montreal, montréal",normal,,,,,Montreal city street skyline landmark,이곳은 북아메리카에 있습니다.,캐나다에 있는 도시입니다.,세계적으로 인지도가 높거나 인구·경제·문화 기능이 큰 대도시입니다.,프랑스어 문화가 강한 북미 도시입니다.,캐나다 퀘벡주의 대표 도시입니다.,몬트리올는 캐나다의 도시입니다. 프랑스어 문화가 강한 북미 도시입니다. 캐나다 퀘벡주의 대표 도시입니다.,텍스트초안
MEGA-095,대도시,밴쿠버,Vancouver,"밴쿠버, vancouver",easy,,,,,Vancouver city street skyline landmark,이곳은 북아메리카에 있습니다.,캐나다에 있는 도시입니다.,세계적으로 인지도가 높거나 인구·경제·문화 기능이 큰 대도시입니다.,산과 바다가 가까운 서부 해안 도시입니다.,캐나다 서부의 대표 도시입니다.,밴쿠버는 캐나다의 도시입니다. 산과 바다가 가까운 서부 해안 도시입니다. 캐나다 서부의 대표 도시입니다.,텍스트초안
MEGA-096,대도시,워싱턴 D.C.,Washington D.C.,"워싱턴, 워싱턴 D.C., washington dc, washington d.c.",easy,,,,,Washington D.C. city street skyline landmark,이곳은 북아메리카에 있습니다.,미국에 있는 도시입니다.,세계적으로 인지도가 높거나 인구·경제·문화 기능이 큰 대도시입니다.,기념비와 정부 청사가 많은 계획도시입니다.,미국의 수도입니다.,워싱턴 D.C.는 미국의 도시입니다. 기념비와 정부 청사가 많은 계획도시입니다. 미국의 수도입니다.,텍스트초안
MEGA-097,대도시,샌프란시스코,San Francisco,"샌프란시스코, san francisco, sf",easy,,,,,San Francisco city street skyline landmark,이곳은 북아메리카에 있습니다.,미국에 있는 도시입니다.,세계적으로 인지도가 높거나 인구·경제·문화 기능이 큰 대도시입니다.,"언덕, 케이블카, 금문교가 유명합니다.",미국 캘리포니아 북부의 대표 도시입니다.,"샌프란시스코는 미국의 도시입니다. 언덕, 케이블카, 금문교가 유명합니다. 미국 캘리포니아 북부의 대표 도시입니다.",텍스트초안
MEGA-098,대도시,마이애미,Miami,"마이애미, miami",normal,,,,,Miami city street skyline landmark,이곳은 북아메리카에 있습니다.,미국에 있는 도시입니다.,세계적으로 인지도가 높거나 인구·경제·문화 기능이 큰 대도시입니다.,해변과 라틴 문화가 강한 도시입니다.,미국 플로리다 남부의 대표 도시입니다.,마이애미는 미국의 도시입니다. 해변과 라틴 문화가 강한 도시입니다. 미국 플로리다 남부의 대표 도시입니다.,텍스트초안
MEGA-099,대도시,휴스턴,Houston,"휴스턴, houston",hard,,,,,Houston city street skyline landmark,이곳은 북아메리카에 있습니다.,미국에 있는 도시입니다.,세계적으로 인지도가 높거나 인구·경제·문화 기능이 큰 대도시입니다.,에너지 산업과 우주항공 이미지가 강합니다.,미국 텍사스주의 대표 대도시입니다.,휴스턴는 미국의 도시입니다. 에너지 산업과 우주항공 이미지가 강합니다. 미국 텍사스주의 대표 대도시입니다.,텍스트초안
MEGA-100,대도시,피닉스,Phoenix,"피닉스, phoenix",hard,,,,,Phoenix city street skyline landmark,이곳은 북아메리카에 있습니다.,미국에 있는 도시입니다.,세계적으로 인지도가 높거나 인구·경제·문화 기능이 큰 대도시입니다.,사막 기후와 넓게 퍼진 도시권이 특징입니다.,미국 애리조나주의 주도입니다.,피닉스는 미국의 도시입니다. 사막 기후와 넓게 퍼진 도시권이 특징입니다. 미국 애리조나주의 주도입니다.,텍스트초안
MID-001,중도시,교토,Kyoto,"교토, kyoto",normal,,,,,Kyoto city street skyline landmark,이곳은 동아시아에 있습니다.,일본에 있는 도시입니다.,"대도시보다는 작지만 역사, 관광, 행정, 지역 거점 기능이 뚜렷한 도시입니다.",전통 사찰과 일본식 거리가 유명합니다.,일본 간사이 지방의 역사 도시입니다.,교토는 일본의 도시입니다. 전통 사찰과 일본식 거리가 유명합니다. 일본 간사이 지방의 역사 도시입니다.,텍스트초안
MID-002,중도시,베네치아,Venice,"베네치아, 베니스, venice, venezia",normal,,,,,Venice city street skyline landmark,이곳은 남유럽에 있습니다.,이탈리아에 있는 도시입니다.,"대도시보다는 작지만 역사, 관광, 행정, 지역 거점 기능이 뚜렷한 도시입니다.",운하와 곤돌라가 대표 이미지입니다.,이탈리아 북동부의 수상 도시입니다.,베네치아는 이탈리아의 도시입니다. 운하와 곤돌라가 대표 이미지입니다. 이탈리아 북동부의 수상 도시입니다.,텍스트초안
MID-003,중도시,피렌체,Florence,"피렌체, 플로렌스, florence, firenze",normal,,,,,Florence city street skyline landmark,이곳은 남유럽에 있습니다.,이탈리아에 있는 도시입니다.,"대도시보다는 작지만 역사, 관광, 행정, 지역 거점 기능이 뚜렷한 도시입니다.",르네상스 예술과 대성당이 유명합니다.,이탈리아 토스카나의 중심 도시입니다.,피렌체는 이탈리아의 도시입니다. 르네상스 예술과 대성당이 유명합니다. 이탈리아 토스카나의 중심 도시입니다.,텍스트초안
MID-004,중도시,나폴리,Naples,"나폴리, naples, napoli",normal,,,,,Naples city street skyline landmark,이곳은 남유럽에 있습니다.,이탈리아에 있는 도시입니다.,"대도시보다는 작지만 역사, 관광, 행정, 지역 거점 기능이 뚜렷한 도시입니다.","피자와 화산, 항구 도시 이미지가 강합니다.",베수비오 화산과 가까운 이탈리아 도시입니다.,"나폴리는 이탈리아의 도시입니다. 피자와 화산, 항구 도시 이미지가 강합니다. 베수비오 화산과 가까운 이탈리아 도시입니다.",텍스트초안
MID-005,중도시,세비야,Seville,"세비야, seville, sevilla",normal,,,,,Seville city street skyline landmark,이곳은 서유럽에 있습니다.,스페인에 있는 도시입니다.,"대도시보다는 작지만 역사, 관광, 행정, 지역 거점 기능이 뚜렷한 도시입니다.",플라멩코와 이슬람풍 건축이 유명합니다.,스페인 안달루시아 지방의 대표 도시입니다.,세비야는 스페인의 도시입니다. 플라멩코와 이슬람풍 건축이 유명합니다. 스페인 안달루시아 지방의 대표 도시입니다.,텍스트초안
MID-006,중도시,그라나다,Granada,"그라나다, granada",normal,,,,,Granada city street skyline landmark,이곳은 서유럽에 있습니다.,스페인에 있는 도시입니다.,"대도시보다는 작지만 역사, 관광, 행정, 지역 거점 기능이 뚜렷한 도시입니다.",궁전과 산악 배경이 유명합니다.,알람브라 궁전이 있는 도시입니다.,그라나다는 스페인의 도시입니다. 궁전과 산악 배경이 유명합니다. 알람브라 궁전이 있는 도시입니다.,텍스트초안
MID-007,중도시,발렌시아,Valencia,"발렌시아, valencia",normal,,,,,Valencia city street skyline landmark,이곳은 서유럽에 있습니다.,스페인에 있는 도시입니다.,"대도시보다는 작지만 역사, 관광, 행정, 지역 거점 기능이 뚜렷한 도시입니다.",현대 건축과 지중해 해안이 함께 떠오릅니다.,스페인 동부의 대표 도시입니다.,발렌시아는 스페인의 도시입니다. 현대 건축과 지중해 해안이 함께 떠오릅니다. 스페인 동부의 대표 도시입니다.,텍스트초안
MID-008,중도시,포르투,Porto,"포르투, porto, oporto",normal,,,,,Porto city street skyline landmark,이곳은 서유럽에 있습니다.,포르투갈에 있는 도시입니다.,"대도시보다는 작지만 역사, 관광, 행정, 지역 거점 기능이 뚜렷한 도시입니다.",강변과 포트 와인으로 유명합니다.,포르투갈 북부의 대표 도시입니다.,포르투는 포르투갈의 도시입니다. 강변과 포트 와인으로 유명합니다. 포르투갈 북부의 대표 도시입니다.,텍스트초안
MID-009,중도시,브뤼헤,Bruges,"브뤼헤, 브루게, bruges, brugge",normal,,,,,Bruges city street skyline landmark,이곳은 서유럽에 있습니다.,벨기에에 있는 도시입니다.,"대도시보다는 작지만 역사, 관광, 행정, 지역 거점 기능이 뚜렷한 도시입니다.",중세 도시 경관과 운하가 유명합니다.,벨기에의 대표 관광 도시입니다.,브뤼헤는 벨기에의 도시입니다. 중세 도시 경관과 운하가 유명합니다. 벨기에의 대표 관광 도시입니다.,텍스트초안
MID-010,중도시,겐트,Ghent,"겐트, ghent, gent",hard,,,,,Ghent city street skyline landmark,이곳은 서유럽에 있습니다.,벨기에에 있는 도시입니다.,"대도시보다는 작지만 역사, 관광, 행정, 지역 거점 기능이 뚜렷한 도시입니다.",중세 건축과 대학 도시 분위기가 있습니다.,벨기에 플랑드르 지역의 도시입니다.,겐트는 벨기에의 도시입니다. 중세 건축과 대학 도시 분위기가 있습니다. 벨기에 플랑드르 지역의 도시입니다.,텍스트초안
MID-011,중도시,로테르담,Rotterdam,"로테르담, rotterdam",normal,,,,,Rotterdam city street skyline landmark,이곳은 서유럽에 있습니다.,네덜란드에 있는 도시입니다.,"대도시보다는 작지만 역사, 관광, 행정, 지역 거점 기능이 뚜렷한 도시입니다.",현대 건축과 항구가 유명합니다.,네덜란드의 대표 항구 도시입니다.,로테르담는 네덜란드의 도시입니다. 현대 건축과 항구가 유명합니다. 네덜란드의 대표 항구 도시입니다.,텍스트초안
MID-012,중도시,헤이그,The Hague,"헤이그, the hague, den haag",hard,,,,,The Hague city street skyline landmark,이곳은 서유럽에 있습니다.,네덜란드에 있는 도시입니다.,"대도시보다는 작지만 역사, 관광, 행정, 지역 거점 기능이 뚜렷한 도시입니다.",국제 법원과 정부 기관이 있습니다.,네덜란드의 행정 중심 도시입니다.,헤이그는 네덜란드의 도시입니다. 국제 법원과 정부 기관이 있습니다. 네덜란드의 행정 중심 도시입니다.,텍스트초안
MID-013,중도시,에든버러,Edinburgh,"에든버러, edinburgh",normal,,,,,Edinburgh city street skyline landmark,이곳은 서유럽에 있습니다.,영국에 있는 도시입니다.,"대도시보다는 작지만 역사, 관광, 행정, 지역 거점 기능이 뚜렷한 도시입니다.",성곽과 언덕 도시 경관이 유명합니다.,스코틀랜드의 수도입니다.,에든버러는 영국의 도시입니다. 성곽과 언덕 도시 경관이 유명합니다. 스코틀랜드의 수도입니다.,텍스트초안
MID-014,중도시,맨체스터,Manchester,"맨체스터, manchester",normal,,,,,Manchester city street skyline landmark,이곳은 서유럽에 있습니다.,영국에 있는 도시입니다.,"대도시보다는 작지만 역사, 관광, 행정, 지역 거점 기능이 뚜렷한 도시입니다.",산업혁명과 축구 문화가 떠오릅니다.,잉글랜드 북서부의 대표 도시입니다.,맨체스터는 영국의 도시입니다. 산업혁명과 축구 문화가 떠오릅니다. 잉글랜드 북서부의 대표 도시입니다.,텍스트초안
MID-015,중도시,리버풀,Liverpool,"리버풀, liverpool",normal,,,,,Liverpool city street skyline landmark,이곳은 서유럽에 있습니다.,영국에 있는 도시입니다.,"대도시보다는 작지만 역사, 관광, 행정, 지역 거점 기능이 뚜렷한 도시입니다.",항구와 음악 문화가 유명합니다.,비틀즈의 도시로도 알려져 있습니다.,리버풀는 영국의 도시입니다. 항구와 음악 문화가 유명합니다. 비틀즈의 도시로도 알려져 있습니다.,텍스트초안
MID-016,중도시,글래스고,Glasgow,"글래스고, glasgow",hard,,,,,Glasgow city street skyline landmark,이곳은 서유럽에 있습니다.,영국에 있는 도시입니다.,"대도시보다는 작지만 역사, 관광, 행정, 지역 거점 기능이 뚜렷한 도시입니다.",공업 도시에서 문화 도시로 변신한 곳입니다.,스코틀랜드 최대 도시로 알려져 있습니다.,글래스고는 영국의 도시입니다. 공업 도시에서 문화 도시로 변신한 곳입니다. 스코틀랜드 최대 도시로 알려져 있습니다.,텍스트초안
MID-017,중도시,옥스퍼드,Oxford,"옥스퍼드, oxford",easy,,,,,Oxford city street skyline landmark,이곳은 서유럽에 있습니다.,영국에 있는 도시입니다.,"대도시보다는 작지만 역사, 관광, 행정, 지역 거점 기능이 뚜렷한 도시입니다.",오랜 대학 도시 이미지가 강합니다.,영국의 대표적인 학문 도시입니다.,옥스퍼드는 영국의 도시입니다. 오랜 대학 도시 이미지가 강합니다. 영국의 대표적인 학문 도시입니다.,텍스트초안
