question,choice1,choice2,choice3,choice4,answer,category,difficulty
"세계에서 가장 긴 산맥 안데스가 있는 대륙은?","아프리카","남아메리카","북아메리카","아시아",2,"지리",2
"인체에서 가장 단단한 조직은?","치아의 에나멜","손톱","뼈","연골",1,"과학",3
"세종대왕이 재위했던 조선의 몇 대 왕인가?","3대","5대","4대","6대",3,"역사",2
"'톰 소여의 모험'을 쓴 작가는?","루이스 캐럴","마크 트웨인","로버트 스티븐슨","잭 런던",2,"문학",1
"각도에서 한 바퀴는 몇 도인가?","270도","360도","400도","180도",2,"수학",1
"우리나라 최초의 신문은?","독립신문","제국신문","황성신문","한성순보",4,"상식",1
"'춘향전'을 바탕으로 한 판소리의 창법 분류는?","동편제와 서편제","남도와 북도","궁중과 서민","정악과 민속악",1,"예술",3
"태권도에서 상대를 발로 차는 기술을 무엇이라 하는가?","차기","막기","찌르기","지르기",1,"스포츠",1
"세계에서 인구 밀도가 매우 높은 도시국가는?","호주","몽골","싱가포르","캐나다",3,"지리",2
"별이 스스로 빛을 내는 이유는?","반사","핵융합","전기","마찰",2,"과학",3
"고구려의 시조 주몽이 세운 나라의 초기 수도는?","졸본","국내성","평양","환도성",1,"역사",2
"'돈키호테'를 쓴 스페인 작가는?","로르카","세르반테스","우나무노","보르헤스",2,"문학",2
"자연수 중 2의 배수를 무엇이라 하는가?","짝수","홀수","소수","합성수",1,"수학",1
"우리나라 최초로 노벨상을 받은 분야는?","문학","화학","평화","물리학",3,"상식",2
"'아를의 별이 빛나는 밤'을 그린 화가와 같은 인물이 그린 작품은?","모나리자","해바라기","진주 귀걸이를 한 소녀","절규",2,"예술",2
"마라톤 경기에서 가장 마지막에 들어오는 것을 부르는 표현이 아닌 것은?","실격","꼴찌","골인","완주",1,"스포츠",1
"세계에서 가장 큰 열대우림이 있는 강은?","나일강","아마존강","콩고강","미시시피강",2,"지리",2
"물체가 아래로 떨어지는 것은 어떤 힘 때문인가?","마찰력","탄성력","중력","자기력",3,"과학",1
"조선을 세운 태조 이성계의 위화도 회군 대상이었던 나라는?","명나라","원나라","청나라","일본",2,"역사",1
"응급 상황에서 경찰에 신고하는 전화번호는?","120","119","114","112",4,"상식",1
"세계에서 가장 인구가 많은 나라 중 하나로 갠지스강이 흐르는 나라는?","방글라데시","인도","중국","네팔",2,"지리",1
"물체의 온도를 재는 단위 중 절대온도의 단위는?","섭씨","칼로리","화씨","켈빈",4,"과학",2
"조선 후기 실학을 집대성하고 수원 화성을 설계한 인물은?","박제가","정약용","홍대용","이덕무",2,"역사",2
"'노인과 바다'의 주인공 어부의 이름은?","이스마엘","마놀린","아합","산티아고",4,"문학",3
"삼각형의 세 변의 길이가 모두 같은 삼각형은?","직각삼각형","이등변삼각형","정삼각형","둔각삼각형",3,"수학",1
"우리나라에서 어버이날은 몇 월 며칠인가?","5월 5일","5월 8일","5월 15일","6월 6일",2,"상식",1
"'진주 귀걸이를 한 소녀'를 그린 화가는?","루벤스","렘브란트","반 다이크","베르메르",4,"예술",1
"배구에서 공을 상대 코트로 강하게 내려치는 공격은?","스파이크","리시브","블로킹","서브",1,"스포츠",2
"세계에서 가장 큰 열대우림은?","콩고 우림","아마존 우림","보르네오 우림","다웰 우림",2,"지리",2
"인체에서 폐의 주요 기능은?","소화","혈액순환","호흡(기체교환)","배설",3,"과학",1
"신라의 골품제에서 최고 신분은?","성골","진골","6두품","5두품",1,"역사",1
"'멋진 신세계'를 쓴 작가는?","올더스 헉슬리","조지 오웰","레이 브래드버리","H.G. 웰스",1,"문학",3
"직각삼각형에서 직각을 마주 보는 변을 무엇이라 하는가?","밑변","높이","대변","빗변",4,"수학",2
"우리나라의 대표적인 세계문화유산으로 신라의 석굴 사원은?","불국사","석굴암","해인사","통도사",2,"상식",2
"'윌리엄 텔' 서곡을 작곡한 사람은?","바그너","베르디","푸치니","로시니",4,"예술",3
"태권도의 종주국은?","일본","대한민국","중국","태국",2,"스포츠",1
"세계에서 가장 건조한 사막으로 알려진 곳은?","아타카마","고비","칼라하리","사하라",1,"지리",1
"소리의 크기를 나타내는 단위는?","데시벨","헤르츠","와트","줄",1,"과학",2
"고구려의 을지문덕이 수나라 군대를 물리친 전투는?","귀주대첩","살수대첩","행주대첩","한산도대첩",2,"역사",1
"'허영의 시장'을 쓴 영국 작가는?","하디","디킨스","새커리","엘리엇",3,"문학",3
"직육면체에서 서로 만나지 않는 두 면을 무엇이라 하는가?","이웃한 면","수직인 면","평행한 면","합동인 면",3,"수학",2
"우리나라 최초의 우주인은?","이소연","고산","김연아","안창남",1,"상식",1
"오페라 '나비부인'을 작곡한 사람은?","베르디","푸치니","로시니","비제",2,"예술",1
"축구에서 반칙으로 퇴장당할 때 받는 카드의 색은?","빨간색","녹색","파란색","노란색",1,"스포츠",1
"세계에서 가장 큰 만을 이루는 벵골만이 접한 나라는?","이집트","인도","호주","칠레",2,"지리",3
"인체에서 인슐린을 분비하는 기관은?","간","신장","위","이자(췌장)",4,"과학",3
"조선의 세조가 왕위에 오르기 전 이름(대군)은?","금성대군","안평대군","광평대군","수양대군",4,"역사",1
"'파리대왕'과 달리 어린이 모험을 다룬 '보물섬'의 작가는?","캐럴","디포","스위프트","스티븐슨",4,"문학",2
"오각형의 변은 몇 개인가?","4개","7개","6개","5개",4,"수학",1
"우리나라의 24절기 중 가장 더운 시기를 나타내는 것은?","대한","대서","입춘","동지",2,"상식",1
"클래식 음악에서 가장 높은 음역의 여성 성부는?","테너","소프라노","알토","베이스",2,"예술",2
"양궁에서 사용하는 도구가 아닌 것은?","라켓","화살","과녁","활",1,"스포츠",1
"세계에서 가장 긴 국경선을 가진 두 나라는?","프랑스와 독일","러시아와 중국","인도와 중국","미국과 캐나다",4,"지리",3
"물의 순환에서 수증기가 물방울로 변하는 현상은?","증발","승화","응결","융해",3,"과학",2
"조선 최초의 서원인 소수서원을 세운 인물은?","이황","이이","주세붕","조광조",3,"역사",1
"'백경(모비딕)'을 쓴 미국 작가는?","마크 트웨인","허먼 멜빌","너새니얼 호손","에드거 앨런 포",2,"문학",2
"어떤 수에 1을 곱하면 결과는?","1","0","그 수 그대로","2배",3,"수학",1
"우리나라 전통 놀이 중 윷을 던져 하는 것은?","제기차기","연날리기","팽이치기","윷놀이",4,"상식",1
"'호두까기 인형'을 작곡한 사람은?","스트라빈스키","프로코피예프","차이콥스키","라흐마니노프",3,"예술",2
"복싱에서 가장 가벼운 체급에 가까운 것은?","헤비급","플라이급","미들급","라이트급",2,"스포츠",2
"세계에서 화산 활동이 활발한 '불의 고리'가 둘러싼 대양은?","대서양","인도양","북극해","태평양",4,"지리",2
"인체에서 혈액을 응고시키는 역할을 하는 것은?","혈소판","백혈구","혈장","적혈구",1,"과학",2
"고려 말 신진사대부와 함께 새 왕조를 세운 무장은?","이색","최영","정몽주","이성계",4,"역사",2
"'인간 실격'을 쓴 일본 작가는?","다자이 오사무","나쓰메 소세키","가와바타 야스나리","무라카미 하루키",1,"문학",1
"정사각형의 한 변이 5cm이면 넓이는?","10cm²","15cm²","20cm²","25cm²",4,"수학",1
"우리나라에서 가장 오래된 다리로 알려진 것은?","반포대교","불국사 청운교","살곶이다리","수표교",2,"상식",1
"'월광 소나타'를 작곡한 사람은?","모차르트","베토벤","쇼팽","리스트",2,"예술",2
"수영에서 두 팔을 동시에 앞으로 뻗었다 당기는 영법은?","자유형","배영","평영","접영",4,"스포츠",3
"세계에서 가장 넓은 국토를 가진 남아메리카 국가는?","아르헨티나","페루","브라질","콜롬비아",3,"지리",2
"눈이 하얗게 보이는 이유는?","빛을 통과","빛을 모두 흡수","빛을 굴절","빛을 모두 반사",4,"과학",2
"삼국시대 백제가 전성기를 이룬 왕은?","무령왕","성왕","근초고왕","의자왕",3,"역사",2
"'변신'과 함께 카프카가 쓴 미완성 장편 소설은?","심판(소송)","이방인","구토","페스트",1,"문학",1
"각도가 90도보다 크고 180도보다 작은 각을 무엇이라 하는가?","직각","둔각","예각","평각",2,"수학",2
"우리나라의 대표적인 전통 악기로 여섯 줄의 현악기는?","거문고","아쟁","해금","가야금",1,"상식",2
"미술에서 물감을 두껍게 칠하는 기법을 무엇이라 하는가?","프레스코","임파스토","스푸마토","콜라주",2,"예술",1
"육상 경기 중 창을 던지는 종목은?","창던지기","원반던지기","포환던지기","해머던지기",1,"스포츠",2
"세계에서 가장 낮은 지점으로 알려진 호수는?","카스피해","바이칼호","티티카카호","사해",4,"지리",2
"물질이 열을 받아 액체에서 기체로 변하는 것은?","승화","융해","응고","기화",4,"과학",2
"조선시대 왕의 자문 기관으로 학문을 연구하던 곳은?","성균관","홍문관","집현전","춘추관",3,"역사",1
"'죽은 혼'을 쓴 러시아 작가는?","톨스토이","고골","도스토옙스키","투르게네프",2,"문학",2
"36의 제곱근은?","4","5","6","7",3,"수학",1
"우리나라의 태극기에서 흰색 바탕이 상징하는 것은?","용맹","희망","평화","밝음과 순수",4,"상식",2
"'아이네이스'를 쓴 고대 로마 시인은?","호메로스","오비디우스","베르길리우스","단테",3,"예술",1
"축구에서 한 경기의 전반전과 후반전은 각각 몇 분인가?","30분","45분","50분","40분",2,"스포츠",1
"세계에서 커피 생산량이 가장 많은 나라는?","브라질","콜롬비아","에티오피아","베트남",1,"지리",2
"인체의 소화기관 중 영양소를 흡수하는 가장 긴 기관은?","소장","위","대장","식도",1,"과학",2
"삼국을 통일한 신라가 당나라를 몰아낸 전쟁은?","살수대첩","나당전쟁","귀주대첩","황산벌 전투",2,"역사",2
"'롤리타'를 쓴 작가는?","도스토옙스키","솔제니친","블라디미르 나보코프","파스테르나크",3,"문학",3
"평행선은 아무리 연장해도 어떻게 되는가?","만난다","겹친다","교차한다","만나지 않는다",4,"수학",1
"우리나라에서 스승의 날은 몇 월 며칠인가?","5월 5일","5월 20일","5월 8일","5월 15일",4,"상식",1
"'백조의 호수'에서 주인공 공주의 이름은?","클라라","지젤","오로라","오데트",4,"예술",3
"테니스에서 40대 40 동점 상황을 무엇이라 하는가?","러브","에이스","듀스","매치포인트",3,"스포츠",2
"세계에서 가장 큰 담수호가 있는 대륙은?","북아메리카","아시아","아프리카","유럽",1,"지리",3
"빛의 삼원색을 모두 합치면 무슨 색이 되는가?","검정","노랑","회색","흰색",4,"과학",2
"조선의 정조가 세운 왕실 도서관은?","집현전","규장각","홍문관","승정원",2,"역사",2
"'참을 수 없는 존재의 가벼움'을 쓴 작가는?","보르헤스","카프카","밀란 쿤데라","마르케스",3,"문학",3
"직육면체의 모서리는 몇 개인가?","10개","12개","8개","14개",2,"수학",1
"우리나라의 전통 명절 추석은 음력 몇 월 며칠인가?","7월 7일","8월 15일","1월 15일","9월 9일",2,"상식",1
"음악에서 여러 음을 동시에 울리는 것을 무엇이라 하는가?","화음","멜로디","리듬","박자",1,"예술",1
"마라톤에서 결승선을 통과하는 것을 무엇이라 하는가?","스타트","골인","패스","서브",2,"스포츠",1
"세계에서 가장 많은 섬으로 이루어진 나라는?","몰디브","필리핀","일본","인도네시아",4,"지리",3
"인체에서 뇌와 척수를 합쳐 무엇이라 부르는가?","중추신경계","운동신경","자율신경계","말초신경계",1,"과학",3
"고려 시대 거란의 침입을 외교로 물리친 인물은?","윤관","강감찬","서희","김윤후",3,"역사",1
"'주홍글씨'의 배경이 된 사회는 어떤 종교 사회인가?","가톨릭","청교도","이슬람","불교",2,"문학",3
"5각형의 대각선은 모두 몇 개인가?","3개","5개","4개","6개",2,"수학",2
"우리나라 최초의 근대 학교로 알려진 곳은?","원산학사","이화학당","육영공원","배재학당",1,"상식",1
"'왕벌의 비행'을 작곡한 러시아 작곡가는?","글린카","무소륵스키","림스키코르사코프","보로딘",3,"예술",3
"체조 종목 중 여자만 하는 종목은?","안마","이단평행봉","마루","링",2,"스포츠",3
"세계에서 가장 큰 반도인 아라비아 반도가 속한 대륙은?","아프리카","오세아니아","유럽","아시아",4,"지리",2
"소리가 물체에 부딪혀 되돌아오는 현상은?","굴절","흡수","반사(메아리)","회절",3,"과학",2
"조선의 임진왜란 3대 대첩이 아닌 것은?","진주대첩","행주대첩","귀주대첩","한산도대첩",3,"역사",1
"'파우스트'에서 파우스트가 영혼을 판 악마의 이름은?","루시퍼","사탄","메피스토펠레스","베엘제붑",3,"문학",3
"삼각형의 세 변 중 두 변의 길이의 합은 나머지 한 변보다?","항상 같다","항상 작다","항상 크다","무관하다",3,"수학",3
"우리나라의 국경일이 아닌 것은?","삼일절","광복절","개천절","성탄절",4,"상식",1
"'천지창조'가 그려진 시스티나 성당 천장화를 그린 예술가는?","보티첼리","라파엘로","다빈치","미켈란젤로",4,"예술",2
"수영에서 출발할 때 물속으로 뛰어드는 동작은?","턴","스트로크","다이빙(스타트)","킥",3,"스포츠",2
"세계에서 가장 높은 수도(고도)를 가진 나라 중 하나는?","프랑스","일본","볼리비아","이집트",3,"지리",1
"인체에서 소리를 처음 받아들이는 부위는?","청신경","달팽이관","외이도","고막",3,"과학",1
"조선 세종 때 편찬된 우리나라 최초의 농업 서적은?","향약집성방","동의보감","칠정산","농사직설",4,"역사",3
"우리나라의 국기를 부르는 이름은?","한국기","무궁화기","태극기","태극문양",3,"상식",1
"세계에서 가장 많은 나라가 접해 있는 대륙은?","아시아","남아메리카","아프리카","유럽",3,"지리",2
"물체가 정지 상태를 유지하려는 성질을 무엇이라 하는가?","관성","중력","마찰","탄성",1,"과학",2
"동학 농민 운동을 이끈 인물은?","전봉준","김옥균","최제우","손병희",1,"역사",2
"'위대한 유산'을 쓴 영국 작가는?","브론테","토머스 하디","조지 엘리엇","찰스 디킨스",4,"문학",3
"직사각형에서 두 대각선의 길이는?","0이다","서로 다르다","서로 같다","알 수 없다",3,"수학",2
"태극기가 게양되는 국경일이 아닌 것은?","밸런타인데이","제헌절","삼일절","광복절",1,"상식",1
"'절규'를 그린 뭉크는 어느 나라 화가인가?","노르웨이","스웨덴","덴마크","핀란드",1,"예술",2
"축구에서 페널티 킥은 몇 미터 거리에서 차는가?","9m","11m","13m","16m",2,"스포츠",2
"세계에서 가장 긴 해협 중 하나로 아시아와 유럽을 나누는 것은?","지브롤터 해협","보스포루스 해협","말라카 해협","도버 해협",2,"지리",3
"인체에서 음식물의 영양분을 저장하고 해독하는 기관은?","위","간","폐","신장",2,"과학",2
"조선의 4대 사화 중 마지막에 일어난 것은?","무오사화","을사사화","갑자사화","기묘사화",2,"역사",3
"'노르웨이의 숲'을 쓴 일본 작가는?","무라카미 하루키","다자이 오사무","가와바타 야스나리","나쓰메 소세키",1,"문학",2
"6의 계승(팩토리얼)은 얼마인가?","120","240","720","840",3,"수학",3
"우리나라의 24절기 중 봄의 시작을 알리는 것은?","입추","입하","입동","입춘",4,"상식",2
"오케스트라에서 가장 큰 현악기는?","바이올린","비올라","콘트라베이스","첼로",3,"예술",2
"수영 종목에서 네 가지 영법을 순서대로 하는 경기는?","자유형","개인혼영","계영","혼계영",2,"스포츠",3
"세계에서 가장 큰 사막 중 하나인 고비 사막이 있는 대륙은?","아프리카","유럽","아시아","오세아니아",3,"지리",1
"소리는 어떤 형태로 전달되는가?","자기","빛","전류","파동",4,"과학",2
"고려를 세운 왕건이 후삼국을 통일한 나라는?","발해","후고구려","신라","후백제",4,"역사",2
"'싯다르타'와 '데미안'을 쓴 작가는 어느 나라 사람인가?","스위스","프랑스","독일","오스트리아",3,"문학",1
"직각의 절반 각도는 몇 도인가?","45도","60도","30도","90도",1,"수학",1
"우리나라에서 한글날은 몇 월 며칠인가?","10월 3일","9월 9일","11월 1일","10월 9일",4,"상식",1
"'피터와 늑대'를 작곡한 러시아 작곡가는?","프로코피예프","차이콥스키","스트라빈스키","쇼스타코비치",1,"예술",1
"골프에서 파보다 2타 적게 홀을 마치는 것을 무엇이라 하는가?","보기","버디","이글","파",3,"스포츠",2
"세계에서 가장 큰 화산이 있는 것으로 알려진 곳은?","하와이","일본","이탈리아","아이슬란드",1,"지리",3
"인체의 심장은 몇 개의 방(공간)으로 이루어져 있는가?","2개","3개","4개","5개",3,"과학",2
"조선의 개혁 정치를 펼치다 기묘사화로 희생된 인물은?","이황","정도전","이이","조광조",4,"역사",3
"'제르미날'을 쓴 프랑스 자연주의 작가는?","발자크","에밀 졸라","플로베르","모파상",2,"문학",1
"정육각형의 내각의 합은 몇 도인가?","540도","1080도","720도","900도",3,"수학",3
"우리나라의 전통 가옥을 무엇이라 하는가?","와가","기와집","초가집","한옥",4,"상식",1
"'라 보엠'을 작곡한 이탈리아 작곡가는?","도니체티","베르디","로시니","푸치니",4,"예술",3
"농구 경기의 정식 쿼터 수는?","2쿼터","3쿼터","4쿼터","5쿼터",3,"스포츠",1
"세계에서 두 번째로 큰 대륙은?","아시아","북아메리카","아프리카","남아메리카",3,"지리",2
"눈으로 볼 수 있는 빛을 무엇이라 하는가?","자외선","가시광선","적외선","엑스선",2,"과학",2
"삼국사기를 편찬한 고려의 학자는?","이규보","일연","김부식","최충",3,"역사",1
"'변신'의 주인공 그레고르 잠자가 변한 것은?","새","쥐","개","벌레",4,"문학",2
"원의 중심에서 원 위의 한 점까지의 거리를 무엇이라 하는가?","지름","반지름","현","둘레",2,"수학",1
"우리나라의 대표적 전통 무예로 국가무형문화재인 것은?","가라테","택견","쿵후","무에타이",2,"상식",2
"'아를의 붉은 포도밭'을 그린 화가는?","마티스","고흐","세잔","고갱",2,"예술",3
"태권도의 겨루기에서 얼굴 공격이 허용되는 부위는?","앞차기만","박치기","주먹","돌려차기 등 발 기술",4,"스포츠",3
"세계에서 가장 큰 섬나라는?","마다가스카르","인도네시아","그린란드","호주",2,"지리",3
"물의 3태 중 기체 상태를 무엇이라 하는가?","얼음","서리","물","수증기",4,"과학",1
"조선의 정약용이 유배 생활 중 저술한 형법서는?","목민심서","흠흠신서","경세유표","여유당전서",2,"역사",1
"'죄와 벌'의 주인공 이름은?","알료샤","이반","드미트리","라스콜리니코프",4,"문학",1
"한 각이 180도인 각을 무엇이라 하는가?","직각","평각","둔각","예각",2,"수학",2
"우리나라 애국가를 작곡한 사람은?","박태준","홍난파","윤이상","안익태",4,"상식",1
"'인상, 해돋이'가 속한 미술 사조는?","초현실주의","입체주의","인상주의","야수주의",3,"예술",2
"펜싱에서 온몸을 유효 타격 부위로 하는 종목은?","플뢰레","포일","사브르","에페",4,"스포츠",1
"세계에서 가장 인구가 많은 도시권 중 하나로 일본의 수도권은?","오사카권","나고야권","후쿠오카권","도쿄권",4,"지리",2
"인체에서 가장 많은 비율을 차지하는 물질은?","단백질","지방","무기질","물",4,"과학",1
"신라 진흥왕이 영토 확장을 기념해 세운 비석은?","광개토대왕비","단양적성비","순수비","임신서기석",3,"역사",1
"'적과 흑'의 주인공 이름은?","라스티냐크","장 발장","쥘리앵 소렐","에드몽 당테스",3,"문학",3
"사다리꼴의 넓이를 구할 때 필요한 두 변은?","한 변만","두 대각선","두 높이","윗변과 아랫변",4,"수학",2
"우리나라의 전통 장류 중 붉은 색을 띠는 매운 장은?","된장","고추장","간장","청국장",2,"상식",1
"'카르멘'을 작곡한 프랑스 작곡가는?","생상스","구노","비제","마스네",3,"예술",3
"야구에서 타자가 1루, 2루, 3루, 홈을 모두 밟는 것을 무엇이라 하는가?","안타","홈런","도루","번트",2,"스포츠",1
"세계에서 가장 높은 고원으로 '세계의 지붕'이라 불리는 곳은?","데칸 고원","안데스 고원","에티오피아 고원","티베트 고원",4,"지리",1
"물체의 무게를 재는 단위는?","초","리터","미터","킬로그램",4,"과학",1
"임진왜란 때 행주대첩을 이끈 장군은?","곽재우","권율","김시민","이순신",2,"역사",2
"'폭풍의 언덕'의 배경이 되는 영국 지방은?","웨일스","런던","스코틀랜드","요크셔",4,"문학",3
"평행사변형의 넓이는 밑변 × 무엇인가?","한 변","대각선","높이","둘레",3,"수학",2
"우리나라의 국보 중 신라의 금관이 많이 출토된 지역은?","경주","부여","공주","서울",1,"상식",2
"'환희의 송가'가 포함된 베토벤의 교향곡은?","교향곡 5번","교향곡 6번","교향곡 9번","교향곡 3번",3,"예술",3
"마라톤에서 세계 신기록은 어느 종목에 해당하는가?","단거리","중거리","장거리","혼성",3,"스포츠",2
"세계에서 가장 넓은 나라 러시아의 수도가 위치한 대륙은?","유럽","아프리카","아메리카","아시아",1,"지리",2
"인체에서 혈액이 온몸을 한 바퀴 도는 순환계를 무엇이라 하는가?","소화계","호흡계","순환계","신경계",3,"과학",1
"고려 시대 최무선이 개발한 무기와 관련된 것은?","화약","거북선","석궁","투석기",1,"역사",1
"'참을 수 없는 존재의 가벼움'의 작가는 어느 나라 출신인가?","폴란드","러시아","헝가리","체코",4,"문학",1
"정삼각형의 세 내각은 각각 몇 도인가?","60도","45도","30도","90도",1,"수학",1
"우리나라의 전통 종이를 무엇이라 하는가?","한지","화선지","양지","닥종이",1,"상식",2
"'백조의 호수'와 '호두까기 인형'을 작곡한 사람은?","라흐마니노프","프로코피예프","스트라빈스키","차이콥스키",4,"예술",2
"수영장에서 25m 또는 50m 길이의 수영장을 무엇이라 하는가?","단수로/장수로","레인","코스","블록",1,"스포츠",3
"세계에서 가장 큰 만년설이 있는 대륙은?","남극","아시아","북아메리카","유럽",1,"지리",1
"물이 흐르면서 만든 지형 중 강물이 굽이치는 곳을 무엇이라 하는가?","삼각주","협곡","곡류","폭포",3,"과학",1
"조선의 흥선대원군이 세운 정책으로 서양과 통상을 거부한 것은?","동도서기","쇄국정책","위정척사","개화정책",2,"역사",2
"'허클베리 핀의 모험'과 같은 작가가 쓴 작품은?","올리버 트위스트","보물섬","톰 소여의 모험","소공자",3,"문학",2
"어떤 수를 0으로 나누는 것은 수학적으로?","1이다","0이다","정의되지 않는다","그 수와 같다",3,"수학",3
"우리나라의 대표적인 전통 놀이로 실을 이용하는 것은?","제기차기","윷놀이","실뜨기","팽이치기",3,"상식",1
"'모차르트'가 태어난 나라는?","독일","이탈리아","프랑스","오스트리아",4,"예술",2
"태권도 품새에서 기본이 되는 자세가 아닌 것은?","백스핀","뒷굽이","앞굽이","주춤서기",1,"스포츠",1
"세계에서 가장 큰 폭포로 물의 양이 많은 것은?","나이아가라","앙헬","빅토리아","이과수",4,"지리",3
"인체에서 눈의 색을 결정하는 부분은?","각막","홍채","수정체","망막",2,"과학",2
"신라 말 최치원이 당나라 유학 후 지은 문집은?","계원필경","삼국유사","동국통감","제왕운기",1,"역사",1
"'파리대왕'에서 무인도에 표류한 사람들은 주로 누구인가?","군인","과학자","선원","소년들",4,"문학",2
"직각삼각형의 두 변이 3과 4이면 빗변은?","5","6","7","8",1,"수학",2
"우리나라의 전통 혼례에서 신랑이 타고 가는 것은?","가마","배","수레","말",4,"상식",2
"'보리밭'과 '봉선화' 같은 우리 가곡을 작곡한 사람은?","윤이상","홍난파","안익태","현제명",2,"예술",3
"복싱에서 한 경기의 최대 라운드 수는 보통 몇 라운드인가?","9","12","6","15",2,"스포츠",2
"세계에서 지진과 화산이 자주 일어나는 나라로 유명한 곳은?","캐나다","일본","이집트","호주",2,"지리",1
"물이 100도에서 끓기 시작하는 것은 몇 기압에서인가?","0.5기압","3기압","2기압","1기압",4,"과학",2
"조선시대 임금의 명령을 기록한 문서를 무엇이라 하는가?","교지","상소","장계","격문",1,"역사",1
"'천로역정'을 쓴 영국 작가는?","대니얼 디포","존 밀턴","존 버니언","조너선 스위프트",3,"문학",3
"원기둥의 밑면은 무슨 모양인가?","삼각형","오각형","사각형","원",4,"수학",1
"우리나라의 대표적 전통 춤으로 부채를 들고 추는 것은?","승무","부채춤","살풀이","탈춤",2,"상식",2
"'만종'과 '이삭 줍는 사람들'을 그린 화가는?","도미에","쿠르베","밀레","코로",3,"예술",2
"양궁에서 한 세트 동안 쏘는 화살의 개수는 보통 몇 발인가?","2발","5발","3발","10발",3,"스포츠",1
"세계에서 가장 큰 대양인 태평양에 접하지 않는 나라는?","프랑스","일본","페루","미국",1,"지리",2
"인체에서 뼈를 튼튼하게 하는 데 필요한 무기질은?","철분","나트륨","칼슘","칼륨",3,"과학",2
"고려 무신정권 시기에 일어난 노비 해방 운동을 이끈 인물은?","묘청","김사미","만적","이의민",3,"역사",1
"책을 무료로 빌려 읽을 수 있는 공공 시설은?","미술관","박물관","도서관","극장",3,"상식",1
"세계에서 가장 인구가 많은 도시가 속한 대륙이 아닌 곳은?","아시아","남아메리카","아프리카","남극",4,"지리",1
"밤하늘에서 스스로 빛을 내지 않고 태양빛을 반사하는 천체는?","항성","행성","은하","성운",2,"과학",2
"우리나라 최초의 근대적 헌법이 제정된 정부는?","제1공화국","대한민국 임시정부","조선총독부","대한제국",1,"역사",3
"'레 미제라블'의 주인공 이름은?","장 발장","자베르","마리우스","코제트",1,"문학",2
"정다각형에서 모든 변의 길이와 각의 크기는?","일부만 같다","모두 다르다","모두 같다","알 수 없다",3,"수학",2
"우리나라에서 어린이날은 몇 월 며칠인가?","5월 5일","5월 8일","6월 1일","4월 5일",1,"상식",1
"'게르니카'를 그린 피카소가 속한 미술 사조는?","야수주의","입체주의","인상주의","초현실주의",2,"예술",1
"축구에서 경기 시작이나 득점 후 중앙에서 공을 차는 것을 무엇이라 하는가?","스로인","코너킥","프리킥","킥오프",4,"스포츠",1
"세계에서 국토 대부분이 사막인 나라로 유명한 곳은?","프랑스","캐나다","사우디아라비아","일본",3,"지리",2
"물질이 액체에서 고체로 변하는 것을 무엇이라 하는가?","융해","승화","기화","응고",4,"과학",2
"조선 후기 서민들 사이에서 유행한 그림으로, 소박한 민화가 아닌 것은?","까치호랑이","화조도","진경산수화","문자도",3,"역사",1
"'죄와 벌'을 쓴 작가의 국적은?","영국","프랑스","러시아","독일",3,"문학",2
"한 자리 자연수 중 소수의 개수는?","5개","3개","4개","2개",3,"수학",3
"우리나라의 대표적인 발효 음료로 쌀로 만든 전통 술은?","막걸리","맥주","와인","위스키",1,"상식",1
"'봄의 소리 왈츠'를 작곡한 사람은?","요한 슈트라우스 2세","베토벤","쇼팽","브람스",1,"예술",1
"테니스에서 서브가 네트를 맞고 서비스 코트에 들어가는 것을 무엇이라 하는가?","에이스","폴트","렛","듀스",3,"스포츠",3
"세계에서 가장 큰 규모의 열대 초원(사바나)이 있는 대륙은?","아시아","유럽","아프리카","남극",3,"지리",2
"소리의 3요소가 아닌 것은?","높낮이","크기","무게","맵시(음색)",3,"과학",2
"고조선의 건국 신화에 등장하는 인물은?","김수로","단군왕검","박혁거세","주몽",2,"역사",1
"'파리대왕'과 '멋진 신세계'는 모두 어떤 장르에 가까운가?","동화","로맨스","추리","디스토피아",4,"문학",1
"정사각형의 네 각은 각각 몇 도인가?","60도","90도","120도","180도",2,"수학",1
"우리나라의 전통 명절 중 음력 5월 5일은?","설날","한식","단오","추석",3,"상식",2
"'봄' 협주곡이 포함된 비발디의 작품집 이름은?","사계","전람회의 그림","호두까기 인형","봄의 제전",1,"예술",2
"농구에서 자유투 한 개의 점수는?","4점","2점","3점","1점",4,"스포츠",1
"세계에서 가장 낮은 육지 지역으로 소금 호수가 있는 곳은?","안데스","티베트","사해 주변","알프스",3,"지리",1
"인체에서 산소와 이산화탄소를 교환하는 작은 공기 주머니는?","폐포","기관지","후두","횡격막",1,"과학",3
"조선의 대표적 백자로 유명한 도자기의 색은?","청록색","흑색","순백색","적갈색",3,"역사",2
"'변신 이야기'는 주로 무엇에 대한 이야기인가?","전쟁","사랑","신화적 변신","모험",3,"문학",2
"두 직선이 만나서 생기는 마주 보는 각을 무엇이라 하는가?","맞꼭지각","동위각","엇각","보각",1,"수학",3
"우리나라의 전통 악기 중 대나무로 만든 관악기는?","거문고","가야금","해금","대금",4,"상식",2
"'천사'와 '성모' 그림으로 유명한 르네상스 화가 라파엘로의 출신국은?","독일","프랑스","이탈리아","스페인",3,"예술",3
